image_path,label
data\Blight\Corn_Blight (1000).JPG,Blight
data\Blight\Corn_Blight (1001).JPG,Blight
data\Blight\Corn_Blight (1002).JPG,Blight
data\Blight\Corn_Blight (1003).JPG,Blight
data\Blight\Corn_Blight (1004).JPG,Blight
data\Blight\Corn_Blight (1005).JPG,Blight
data\Blight\Corn_Blight (1006).JPG,Blight
data\Blight\Corn_Blight (1007).JPG,Blight
data\Blight\Corn_Blight (1008).JPG,Blight
data\Blight\Corn_Blight (1009).JPG,Blight
data\Blight\Corn_Blight (1010).JPG,Blight
data\Blight\Corn_Blight (1012).JPG,Blight
data\Blight\Corn_Blight (1013).JPG,Blight
data\Blight\Corn_Blight (1014).JPG,Blight
data\Blight\Corn_Blight (1016).JPG,Blight
data\Blight\Corn_Blight (1017).JPG,Blight
data\Blight\Corn_Blight (1019).JPG,Blight
data\Blight\Corn_Blight (1020).JPG,Blight
data\Blight\Corn_Blight (1021).JPG,Blight
data\Blight\Corn_Blight (1022).JPG,Blight
data\Blight\Corn_Blight (1023).JPG,Blight
data\Blight\Corn_Blight (1024).JPG,Blight
data\Blight\Corn_Blight (1025).JPG,Blight
data\Blight\Corn_Blight (1026).JPG,Blight
data\Blight\Corn_Blight (1027).JPG,Blight
data\Blight\Corn_Blight (1028).JPG,Blight
data\Blight\Corn_Blight (1029).JPG,Blight
data\Blight\Corn_Blight (1031).JPG,Blight
data\Blight\Corn_Blight (1032).JPG,Blight
data\Blight\Corn_Blight (1034).JPG,Blight
data\Blight\Corn_Blight (1035).JPG,Blight
data\Blight\Corn_Blight (1037).JPG,Blight
data\Blight\Corn_Blight (1041).JPG,Blight
data\Blight\Corn_Blight (1043).JPG,Blight
data\Blight\Corn_Blight (1044).JPG,Blight
data\Blight\Corn_Blight (1045).JPG,Blight
data\Blight\Corn_Blight (1046).JPG,Blight
data\Blight\Corn_Blight (1047).JPG,Blight
data\Blight\Corn_Blight (1048).JPG,Blight
data\Blight\Corn_Blight (1049).JPG,Blight
data\Blight\Corn_Blight (1050).JPG,Blight
data\Blight\Corn_Blight (1051).JPG,Blight
data\Blight\Corn_Blight (1052).JPG,Blight
data\Blight\Corn_Blight (1053).JPG,Blight
data\Blight\Corn_Blight (1055).JPG,Blight
data\Blight\Corn_Blight (1056).JPG,Blight
data\Blight\Corn_Blight (1057).JPG,Blight
data\Blight\Corn_Blight (1059).JPG,Blight
data\Blight\Corn_Blight (1060).JPG,Blight
data\Blight\Corn_Blight (1061).JPG,Blight
data\Blight\Corn_Blight (1062).JPG,Blight
data\Blight\Corn_Blight (1063).JPG,Blight
data\Blight\Corn_Blight (1064).JPG,Blight
data\Blight\Corn_Blight (1065).JPG,Blight
data\Blight\Corn_Blight (1066).JPG,Blight
data\Blight\Corn_Blight (1067).JPG,Blight
data\Blight\Corn_Blight (1068).JPG,Blight
data\Blight\Corn_Blight (1069).JPG,Blight
data\Blight\Corn_Blight (1070).JPG,Blight
data\Blight\Corn_Blight (1071).JPG,Blight
data\Blight\Corn_Blight (1072).JPG,Blight
data\Blight\Corn_Blight (1074).JPG,Blight
data\Blight\Corn_Blight (1075).JPG,Blight
data\Blight\Corn_Blight (1077).JPG,Blight
data\Blight\Corn_Blight (1078).JPG,Blight
data\Blight\Corn_Blight (1079).JPG,Blight
data\Blight\Corn_Blight (1080).JPG,Blight
data\Blight\Corn_Blight (1083).JPG,Blight
data\Blight\Corn_Blight (1084).JPG,Blight
data\Blight\Corn_Blight (1085).JPG,Blight
data\Blight\Corn_Blight (1086).JPG,Blight
data\Blight\Corn_Blight (1087).JPG,Blight
data\Blight\Corn_Blight (1088).JPG,Blight
data\Blight\Corn_Blight (1089).JPG,Blight
data\Blight\Corn_Blight (1090).JPG,Blight
data\Blight\Corn_Blight (1091).JPG,Blight
data\Blight\Corn_Blight (1093).JPG,Blight
data\Blight\Corn_Blight (1094).JPG,Blight
data\Blight\Corn_Blight (1095).JPG,Blight
data\Blight\Corn_Blight (111).JPG,Blight
data\Blight\Corn_Blight (112).JPG,Blight
data\Blight\Corn_Blight (113).JPG,Blight
data\Blight\Corn_Blight (114).JPG,Blight
